num_target_loci,target_fitness_cost,recomb_rate,shared_cas9?,baseline_cleavage_rate,saturation_factor,target_cleavage_rate,drive_cleavage_rate,drive_r1_rate,drive_fitness_cost,drive_dominance,target_r1_rate,target_dominance,recovery_marker,avg_minimum_fitness,avg_time_to_minimum_fitness,avg_time_to_fitness_recovery,avg_ending_fitness,avg_ending_drive_rate,avg_ending_disrupted_rate,rate_drive_lost_disrupted_lost,rate_drive_lost_disrupted_fixed,rate_drive_fixed_disrupted_lost,rate_drive_fixed_disrupted_fixed,rate_simulation_timed_out,num_replicates
1,1,0.5,0,1,0.5,1,1,0.001,0.1,0.5,0.01,0,0.99,0.300718,11.1,153.2,0.98999925,0.1,2.65e-4,0.85,0,0.1,0,0.05,20
1,0.9,0.5,0,1,0.5,1,1,0.001,0.1,0.5,0.01,0,0.99,0.30684585000000003,11.2,157.05,0.98999825,0.1,5e-5,0.9,0,0.05,0,0.05,20
1,0.8,0.5,0,1,0.5,1,1,0.001,0.1,0.5,0.01,0,0.99,0.3349876,11.15,157.45,0.989999,0.1,4e-5,0.85,0,0.1,0,0.05,20
1,0.7,0.5,0,1,0.5,1,1,0.001,0.1,0.5,0.01,0,0.99,0.37187035,11.15,166.55,0.994996,0.05,9.1e-4,0.75,0,0.05,0,0.2,20
1,0.6,0.5,0,1,0.5,1,1,0.001,0.1,0.5,0.01,0,0.99,0.4261623500000001,11.25,178,0.989995,0.1,1.575e-4,0.85,0,0.1,0,0.05,20
1,0.5,0.5,0,1,0.5,1,1,0.001,0.1,0.5,0.01,0,0.99,0.49068885,11.3,163.8,0.989999,0.1,2.45e-4,0.8,0,0.1,0,0.1,20
1,0.4,0.5,0,1,0.5,1,1,0.001,0.1,0.5,0.01,0,0.99,0.5643887,11.3,162.85,0.994999,0.05,1.425e-4,0.9,0,0,0,0.1,20
1,0.3,0.5,0,1,0.5,1,1,0.001,0.1,0.5,0.01,0,0.99,0.6436329000000001,11.55,170.4,0.9899925,0.1,0.0012425,0.75,0,0.1,0,0.15,20
1,0.2,0.5,0,1,0.5,1,1,0.001,0.1,0.5,0.01,0,0.99,0.7268353999999999,11.75,169.9,0.989988,0.1,0.005815,0.4,0,0.1,0,0.5,20
1,0.1,0.5,0,1,0.5,1,1,0.001,0.1,0.5,0.01,0,0.99,0.8127744,11.85,169.65,0.9899837,0.1,0.008675,0.3,0,0.05,0,0.65,20
2,1,0.5,0,1,0.5,0.7071067811865475,1,0.001,0.1,0.5,0.01,0,0.99,0.13697074999999995,13,159.75,1,0,8.75e-6,0.95,0,0,0,0.05,20
2,0.9,0.5,0,1,0.5,0.7071067811865475,1,0.001,0.1,0.5,0.01,0,0.99,0.15158220000000003,13,143.75,0.98499875,0.15,2.6e-4,0.75,0,0.15,0,0.1,20
2,0.8,0.5,0,1,0.5,0.7071067811865475,1,0.001,0.1,0.5,0.01,0,0.99,0.17182425,13,157.85,0.995,0.05,2.8625e-4,0.85,0,0.05,0,0.1,20
2,0.7,0.5,0,1,0.5,0.7071067811865475,1,0.001,0.1,0.5,0.01,0,0.99,0.19907315,13.05,175.4,0.99999975,0,0,1,0,0,0,0,20
2,0.6,0.5,0,1,0.5,0.7071067811865475,1,0.001,0.1,0.5,0.01,0,0.99,0.23979485,13.05,150.6,0.99,0.1,1.9375e-4,0.8,0,0.1,0,0.1,20
2,0.5,0.5,0,1,0.5,0.7071067811865475,1,0.001,0.1,0.5,0.01,0,0.99,0.2970225,13,161.85,0.98998875,0.1,4.9125e-4,0.7,0,0.05,0,0.25,20
2,0.4,0.5,0,1,0.5,0.7071067811865475,1,0.001,0.1,0.5,0.01,0,0.99,0.37199820000000006,13,186.75,0.99997,0,0.00293125,0.55,0,0,0,0.45,20
2,0.3,0.5,0,1,0.5,0.7071067811865475,1,0.001,0.1,0.5,0.01,0,0.99,0.4701551499999999,13.05,170.6,0.994994,0.05,0.00157874999999999,0.45,0,0.05,0,0.5,20
2,0.2,0.5,0,1,0.5,0.7071067811865475,1,0.001,0.1,0.5,0.01,0,0.99,0.59147635,13.65,148.3,0.9799753,0.2,0.004755,0.05,0,0,0,0.95,20
2,0.1,0.5,0,1,0.5,0.7071067811865475,1,0.001,0.1,0.5,0.01,0,0.99,0.7346621,14.2,174.6,0.98996170000000006,0.1,0.0095375,0,0,0.05,0,0.95,20
3,1,0.5,0,1,0.5,0.5773502691896258,1,0.001,0.1,0.5,0.01,0,0.99,0.09817224999999996,13.9,118.4,0.97499975,0.25,2.5e-6,0.7,0,0.25,0,0.05,20
3,0.9,0.5,0,1,0.5,0.5773502691896258,1,0.001,0.1,0.5,0.01,0,0.99,0.10761055,13.85,142.95,0.98499975,0.15,2.1083315e-4,0.85,0,0.05,0,0.1,20
3,0.8,0.5,0,1,0.5,0.5773502691896258,1,0.001,0.1,0.5,0.01,0,0.99,0.11599769999999998,13.95,138.4,0.985,0.15,8.33335e-5,0.85,0,0.1,0,0.05,20
3,0.7,0.5,0,1,0.5,0.5773502691896258,1,0.001,0.1,0.5,0.01,0,0.99,0.13491655000000002,14,170.15,0.995,0.05,1.85000165e-4,0.85,0,0.05,0,0.1,20
3,0.6,0.5,0,1,0.5,0.5773502691896258,1,0.001,0.1,0.5,0.01,0,0.99,0.16171980000000002,14,150.55,0.99,0.1,1.2583315e-4,0.75,0,0.1,0,0.15,20
3,0.5,0.5,0,1,0.5,0.5773502691896258,1,0.001,0.1,0.5,0.01,0,0.99,0.20110555,14,181.1,0.999985,0,7.19166e-4,0.65,0,0,0,0.35,20
3,0.4,0.5,0,1,0.5,0.5773502691896258,1,0.001,0.1,0.5,0.01,0,0.99,0.2619994,14.15,165.2,0.989994,0.1,4.66667e-4,0.55,0,0.1,0,0.35,20
3,0.3,0.5,0,1,0.5,0.5773502691896258,1,0.001,0.1,0.5,0.01,0,0.99,0.35346045,14.75,186.2,0.999988,0,0.00173833365,0.3,0,0,0,0.7,20
3,0.2,0.5,0,1,0.5,0.5773502691896258,1,0.001,0.1,0.5,0.01,0,0.99,0.4854114500000001,15,171.25,0.9949762,0.05,0.00384000149999999,0.25,0,0,0,0.75,20
3,0.1,0.5,0,1,0.5,0.5773502691896258,1,0.001,0.1,0.5,0.01,0,0.99,0.6647804,15.9,145.45,0.9799252500000002,0.2,0.01057332649999999,0.05,0,0,0,0.95,20
4,1,0.5,0,1,0.5,0.5,1,0.001,0.1,0.5,0.01,0,0.99,0.07573325,14.55,131.45,0.98999975,0.1,1.10625e-4,0.75,0,0.1,0,0.15,20
4,0.9,0.5,0,1,0.5,0.5,1,0.001,0.1,0.5,0.01,0,0.99,0.08109867999999998,14.4,159.4,0.99499975,0.05,1.0062499999999e-4,0.8,0,0.05,0,0.15,20
4,0.8,0.5,0,1,0.5,0.5,1,0.001,0.1,0.5,0.01,0,0.99,0.08924844000000001,14.7,123.5,0.97499575,0.25,1.125e-4,0.65,0,0.25,0,0.1,20
4,0.7,0.5,0,1,0.5,0.5,1,0.001,0.1,0.5,0.01,0,0.99,0.101492645,14.8,151.75,0.995,0.05,2.625e-4,0.6,0,0.05,0,0.35,20
4,0.6,0.5,0,1,0.5,0.5,1,0.001,0.1,0.5,0.01,0,0.99,0.1175037,14.95,154.7,0.984994,0.15,3.2375e-4,0.55,0,0.15,0,0.3,20
4,0.5,0.5,0,1,0.5,0.5,1,0.001,0.1,0.5,0.01,0,0.99,0.14565589999999998,15,132.4,0.9749975,0.25,3.1624999999999e-4,0.45,0,0.05,0,0.5,20
4,0.4,0.5,0,1,0.5,0.5,1,0.001,0.1,0.5,0.01,0,0.99,0.19360965,15.1,164.15,0.98998,0.1,9.8125e-4,0.4,0,0.05,0,0.55,20
4,0.3,0.5,0,1,0.5,0.5,1,0.001,0.1,0.5,0.01,0,0.99,0.27168585,15.95,183.5,0.9999760000000002,0,0.00170249999999999,0.25,0,0,0,0.75,20
4,0.2,0.5,0,1,0.5,0.5,1,0.001,0.1,0.5,0.01,0,0.99,0.40028345,16.25,148.25,0.9799723000000002,0.2,0.00294062499999999,0.05,0,0,0,0.95,20
4,0.1,0.5,0,1,0.5,0.5,1,0.001,0.1,0.5,0.01,0,0.99,0.6026988999999999,17.2,154,0.9849072499999998,0.15,0.01006,0,0,0,0,1,20
5,1,0.5,0,1,0.5,0.44721359549995793,1,0.001,0.1,0.5,0.01,0,0.99,0.06195324999999998,14.9,143,0.99,0.1,1.515e-4,0.75,0,0.05,0,0.2,20
5,0.9,0.5,0,1,0.5,0.44721359549995793,1,0.001,0.1,0.5,0.01,0,0.99,0.065108735,15.15,103.85,0.964991,0.35,1.5199999999999e-4,0.5,0,0.35,0,0.15,20
5,0.8,0.5,0,1,0.5,0.44721359549995793,1,0.001,0.1,0.5,0.01,0,0.99,0.0700513,15.15,135.55,0.979996,0.2,2.165e-4,0.7,0,0.1,0,0.2,20
5,0.7,0.5,0,1,0.5,0.44721359549995793,1,0.001,0.1,0.5,0.01,0,0.99,0.07835652000000001,15.3,132.55,0.9799965,0.2,2.63e-4,0.55,0,0.15,0,0.3,20
5,0.6,0.5,0,1,0.5,0.44721359549995793,1,0.001,0.1,0.5,0.01,0,0.99,0.090463265,15.2,146.6,0.985,0.15,2.725e-4,0.65,0,0.05,0,0.35,20
5,0.5,0.5,0,1,0.5,0.44721359549995793,1,0.001,0.1,0.5,0.01,0,0.99,0.11042654999999998,15.8,112.15,0.96499,0.35,4.08e-4,0.45,0,0.15,0,0.4,20
5,0.4,0.5,0,1,0.5,0.44721359549995793,1,0.001,0.1,0.5,0.01,0,0.99,0.14552505000000002,16,132.1,0.97999,0.2,8.9699999999999e-4,0.35,0,0.05,0,0.6,20
5,0.3,0.5,0,1,0.5,0.44721359549995793,1,0.001,0.1,0.5,0.01,0,0.99,0.2114301,16.55,170.55,0.9949834999999998,0.05,0.00146399999999999,0.25,0,0,0,0.75,20
5,0.2,0.5,0,1,0.5,0.44721359549995793,1,0.001,0.1,0.5,0.01,0,0.99,0.33343580000000006,17.1,153.45,0.9849543,0.15,0.00402199999999999,0.05,0,0,0,0.95,20
5,0.1,0.5,0,1,0.5,0.44721359549995793,1,0.001,0.1,0.5,0.01,0,0.99,0.5465821499999999,18.35,187.45,0.9948930499999996,0.05,0.01021549999999999,0,0,0,0,1,20
6,1,0.5,0,1,0.5,0.4082482904638631,1,0.001,0.1,0.5,0.01,0,0.99,0.0498415,15.3,97.85,0.96499,0.35,1.4083335e-4,0.4,0,0.3,0,0.3,20
6,0.9,0.5,0,1,0.5,0.4082482904638631,1,0.001,0.1,0.5,0.01,0,0.99,0.05357905500000001,15.55,121.05,0.975,0.25,4.3333315e-5,0.65,0,0.25,0,0.1,20
6,0.8,0.5,0,1,0.5,0.4082482904638631,1,0.001,0.1,0.5,0.01,0,0.99,0.056887235,15.55,136.75,0.9899888,0.1,2.145835e-4,0.75,0,0.05,0,0.2,20
6,0.7,0.5,0,1,0.5,0.4082482904638631,1,0.001,0.1,0.5,0.01,0,0.99,0.06251129000000001,15.8,125.5,0.9749859999999998,0.25,3.7708329999999e-4,0.55,0,0.05,0,0.4,20
6,0.6,0.5,0,1,0.5,0.4082482904638631,1,0.001,0.1,0.5,0.01,0,0.99,0.07179700999999998,15.95,129.75,0.9749943,0.25,6.3166665e-4,0.45,0,0.05,0,0.55,20
