num_target_loci,target_fitness_cost,recomb_rate,shared_cas9?,baseline_cleavage_rate,saturation_factor,target_cleavage_rate,drive_cleavage_rate,drive_r1_rate,drive_fitness_cost,drive_dominance,target_r1_rate,target_dominance,recovery_marker,avg_minimum_fitness,avg_time_to_minimum_fitness,avg_time_to_fitness_recovery,avg_ending_fitness,avg_ending_drive_rate,avg_ending_disrupted_rate,rate_drive_lost_disrupted_lost,rate_drive_lost_disrupted_fixed,rate_drive_fixed_disrupted_lost,rate_drive_fixed_disrupted_fixed,rate_simulation_timed_out,num_replicates
1,1,0.5,1,1,0.5,0.7071067811865475,0.7071067811865475,0.001,-0.1,0.5,0.01,0,0.99,0.491227,15.45,176.5,0.9949975,0.05,0,0.95,0,0.05,0,0,20
1,0.9,0.5,1,1,0.5,0.7071067811865475,0.7071067811865475,0.001,-0.1,0.5,0.01,0,0.99,0.48028415,15.3,175.95,0.99999825,0,5.375e-4,0.85,0,0,0,0.15,20
1,0.8,0.5,1,1,0.5,0.7071067811865475,0.7071067811865475,0.001,-0.1,0.5,0.01,0,0.99,0.4757744,15.05,154.95,0.9849865,0.15,9.525e-4,0.75,0,0.15,0,0.1,20
1,0.7,0.5,1,1,0.5,0.7071067811865475,0.7071067811865475,0.001,-0.1,0.5,0.01,0,0.99,0.4825038499999999,15.05,178.3,0.99999925,0,5.75e-4,0.85,0,0,0,0.15,20
1,0.6,0.5,1,1,0.5,0.7071067811865475,0.7071067811865475,0.001,-0.1,0.5,0.01,0,0.99,0.5036998500000001,15.4,172.15,0.98999675,0.1,0,0.9,0,0.1,0,0,20
1,0.5,0.5,1,1,0.5,0.7071067811865475,0.7071067811865475,0.001,-0.1,0.5,0.01,0,0.99,0.53997385,15.35,166.5,0.98999425,0.1,4.575e-4,0.7,0,0.1,0,0.2,20
1,0.4,0.5,1,1,0.5,0.7071067811865475,0.7071067811865475,0.001,-0.1,0.5,0.01,0,0.99,0.5908108499999999,15.35,136.65,0.975,0.25,6.275e-4,0.55,0,0.25,0,0.2,20
1,0.3,0.5,1,1,0.5,0.7071067811865475,0.7071067811865475,0.001,-0.1,0.5,0.01,0,0.99,0.6557734500000001,15.7,164.3,0.98499445,0.15,0.00218,0.6,0,0.1,0,0.3,20
1,0.2,0.5,1,1,0.5,0.7071067811865475,0.7071067811865475,0.001,-0.1,0.5,0.01,0,0.99,0.7315863499999999,15.95,144.7,0.9799934,0.2,0.0036075,0.45,0,0.1,0,0.45,20
1,0.1,0.5,1,1,0.5,0.7071067811865475,0.7071067811865475,0.001,-0.1,0.5,0.01,0,0.99,0.8134731499999999,17.25,180.95,0.9999885,0,0.006965,0.45,0,0,0,0.55,20
2,1,0.5,1,1,0.5,0.5773502691896258,0.5773502691896258,0.001,-0.1,0.5,0.01,0,0.99,0.4799482500000001,27.8,167.95,0.99999925,0,0,1,0,0,0,0,20
2,0.9,0.5,1,1,0.5,0.5773502691896258,0.5773502691896258,0.001,-0.1,0.5,0.01,0,0.99,0.4507785,25.35,166.05,0.99999975,0,0,1,0,0,0,0,20
2,0.8,0.5,1,1,0.5,0.5773502691896258,0.5773502691896258,0.001,-0.1,0.5,0.01,0,0.99,0.4209689,23.9,166.85,0.9999995,0,0,1,0,0,0,0,20
2,0.7,0.5,1,1,0.5,0.5773502691896258,0.5773502691896258,0.001,-0.1,0.5,0.01,0,0.99,0.3989451,22.55,168.25,0.9949997499999998,0.05,1.875e-4,0.85,0,0.05,0,0.1,20
2,0.6,0.5,1,1,0.5,0.5773502691896258,0.5773502691896258,0.001,-0.1,0.5,0.01,0,0.99,0.38195055,21.35,176,0.999994,0,2.45e-4,0.9,0,0,0,0.1,20
2,0.5,0.5,1,1,0.5,0.5773502691896258,0.5773502691896258,0.001,-0.1,0.5,0.01,0,0.99,0.389998,20.65,176.8,0.995,0.05,4.1125e-4,0.75,0,0,0,0.25,20
2,0.4,0.5,1,1,0.5,0.5773502691896258,0.5773502691896258,0.001,-0.1,0.5,0.01,0,0.99,0.4281746500000001,19.9,170.7,0.994998,0.05,5.175e-4,0.75,0,0.05,0,0.25,20
2,0.3,0.5,1,1,0.5,0.5773502691896258,0.5773502691896258,0.001,-0.1,0.5,0.01,0,0.99,0.4952138,20,163.3,0.9899805,0.1,0.00217875,0.4,0,0.05,0,0.55,20
2,0.2,0.5,1,1,0.5,0.5773502691896258,0.5773502691896258,0.001,-0.1,0.5,0.01,0,0.99,0.60053005,20,169.05,0.9899911,0.1,0.00165999999999999,0.5,0,0.05,0,0.45,20
2,0.1,0.5,1,1,0.5,0.5773502691896258,0.5773502691896258,0.001,-0.1,0.5,0.01,0,0.99,0.73642345,20.85,176.65,0.9899706,0.1,0.00794125,0.1,0,0,0,0.9,20
3,1,0.5,1,1,0.5,0.5,0.5,0.001,-0.1,0.5,0.01,0,0.99,0.59383325,63,178.35,0.9999985,0,1.583335e-5,0.95,0,0,0,0.05,20
3,0.9,0.5,1,1,0.5,0.5,0.5,0.001,-0.1,0.5,0.01,0,0.99,0.56080935,54.35,180.8,0.9999955,0,1.525e-4,0.9,0,0,0,0.1,20
3,0.8,0.5,1,1,0.5,0.5,0.5,0.001,-0.1,0.5,0.01,0,0.99,0.5251958999999997,46.4,167.6,0.999996,0,1.1749985e-4,0.9,0,0,0,0.1,20
3,0.7,0.5,1,1,0.5,0.5,0.5,0.001,-0.1,0.5,0.01,0,0.99,0.47196915000000006,38.95,161.9,1,0,2.1749999999999e-4,0.9,0,0,0,0.1,20
