num_targets,target_fitness_cost,recomb_rate,shared_cas9,baseline_cleavage_rate,saturation_factor,target_cut_rate,drive_cut_rate,drive_r1_rate,drive_fitness_cost,drive_dominance,target_r1_rate,target_dominance,avg_max_load,avg_time_to_maximum_genetic_load,recovery_marker,avg_rate_genetic_load_fell_below_marker,avg_time_to_genetic_load_below_marker,drive_loss_rate,avg_time_to_drive_loss,drive_fixed_rate,avg_time_to_drive_fixation,disrupted_lost_rate,avg_time_to_disrupted_lost,disrupted_fixed_rate,avg_time_to_disrupted_fixation,simulation_timed_out_rate,avg_ending_genetic_load,avg_total_load,theoretical_potential_load,fraction_of_max_load_attained
1,0.05,0.5,0,0.5,0,0.5,1,0.001,0.1,0.5,0.01,0,0.14345634999999998,17.45,0.2,0,-1,0.85,311.1764705882353,0.15,51,0,-1,0,-1,1,0.01516515,23.147551225000004,0.14500000000000002,0.9893541379310342
2,0.05,0.5,0,0.5,0,0.5,1,0.001,0.1,0.5,0.01,0,0.1849995,17.6,0.2,0,-1,0.9,301,0.1,41,0,-1,0,-1,1,0.010293,25.445122561499993,0.18774999999999997,0.9853501997336886
3,0.05,0.5,0,0.5,0,0.5,1,0.001,0.1,0.5,0.01,0,0.22444875,17.25,0.2,1,64.6,0.9,297.22222222222223,0.1,45,0,-1,0,-1,1,0.01056333749999999,29.7408617338,0.22836250000000013,0.9828616782527774
4,0.05,0.5,0,0.5,0,0.5,1,0.001,0.1,0.5,0.01,0,0.2619090499999999,17.05,0.2,1,82.25,0.95,287.6842105263158,0.05,43,0,-1,0,-1,1,0.00554607499999999,30.8283712212,0.2669443750000001,0.9811371751137284
5,0.05,0.5,0,0.5,0,0.5,1,0.001,0.1,0.5,0.01,0,0.29761239999999994,17.3,0.2,1,92.85,0.9,294.77777777777777,0.1,26,0,-1,0,-1,1,0.0107317875,36.51557742395001,0.30359715625000017,0.9802871794850674
6,0.05,0.5,0,0.5,0,0.5,1,0.001,0.1,0.5,0.01,0,0.33157709999999996,17.35,0.2,1,99.6,0.8,296.25,0.2,34.5,0,-1,0,-1,1,0.020949575,42.98722824999999,0.3384172984375001,0.9797876808629998
7,0.05,0.5,0,0.5,0,0.5,1,0.001,0.1,0.5,0.01,0,0.36405675,17.5,0.2,1,106,0.95,305.8421052631579,0.05,61,0,-1,0,-1,1,0.00608838749999999,42.0731525305,0.3714964335156252,0.9799737417524567
8,0.05,0.5,0,0.5,0,0.5,1,0.001,0.1,0.5,0.01,0,0.3949682000000001,17.65,0.2,1,110.9,0.8,312.5625,0.2,53.25,0,-1,0,-1,1,0.02118757499999999,50.2047734495,0.402921611839844,0.9802606472173916
9,0.05,0.5,0,0.5,0,0.5,1,0.001,0.1,0.5,0.01,0,0.4243141,17.65,0.2,1,116.25,0.8,298.625,0.2,28,0,-1,0,-1,1,0.0214061625,54.032952055000024,0.43277553124785184,0.980448452749964
10,0.05,0.5,0,0.5,0,0.5,1,0.001,0.1,0.5,0.01,0,0.4520540499999998,17.7,0.2,1,115.4,0.85,279.5882352941176,0.15,22.333333333333332,0,-1,0,-1,1,0.0166255255,53.470610915499996,0.4611367546854592,0.9803036635159245
1,0.1,0.5,0,0.5,0,0.5,1,0.001,0.1,0.5,0.01,0,0.18597285,16.15,0.2,0,-1,0.9,318.3888888888889,0.1,23,0,-1,0,-1,1,0.01005574999999999,22.815535924999992,0.18999999999999995,0.9788044736842108
2,0.1,0.5,0,0.5,0,0.5,1,0.001,0.1,0.5,0.01,0,0.26339055,16.05,0.2,1,46.85,0.95,301.8421052631579,0.05,28,0,-1,0,-1,1,0.0051281,23.34350773,0.2709999999999999,0.9719208487084874
3,0.1,0.5,0,0.5,0,0.5,1,0.001,0.1,0.5,0.01,0,0.33398184999999997,16.35,0.2,1,56.35,0.8,315.625,0.2,28.75,0,-1,0,-1,1,0.02018194999999999,32.625692540500005,0.3438999999999999,0.9711597848211693
4,0.1,0.5,0,0.5,0,0.5,1,0.001,0.1,0.5,0.01,0,0.39753335,16.15,0.2,1,61.75,1,303.45,0,-1,0,-1,0,-1,1,2.1349999999999e-4,28.3930048505,0.40950999999999993,0.970753705648214
5,0.1,0.5,0,0.5,0,0.5,1,0.001,0.1,0.5,0.01,0,0.4550154,16.35,0.2,1,66.25,0.95,302.36842105263156,0.05,42,0,-1,0,-1,1,0.0052498,33.67227554499999,0.46855899999999995,0.9710952089277979
6,0.1,0.5,0,0.5,0,0.5,1,0.001,0.1,0.5,0.01,0,0.5069193000000001,16.6,0.2,1,69.8,0.8,306.9375,0.2,48.5,0,-1,0,-1,1,0.0203387,41.410689156,0.5217030999999999,0.9716624263877294
7,0.1,0.5,0,0.5,0,0.5,1,0.001,0.1,0.5,0.01,0,0.55385165,16.55,0.2,1,72.4,0.9,293.77777777777777,0.1,23.5,0,-1,0,-1,1,0.01039595,40.14640662699999,0.5695327899999999,0.9724666599090811
8,0.1,0.5,0,0.5,0,0.5,1,0.001,0.1,0.5,0.01,0,0.59677145,16.7,0.2,1,75,1,299.4,0,-1,0,-1,0,-1,1,4.63e-4,39.29571608199999,0.6125795109999999,0.9741942707581026
9,0.1,0.5,0,0.5,0,0.5,1,0.001,0.1,0.5,0.01,0,0.63487125,16.75,0.2,1,77.25,0.95,294.10526315789474,0.05,59,0,-1,0,-1,1,0.00552384999999999,42.9495985035,0.6513215599,0.9747431823037984
10,0.1,0.5,0,0.5,0,0.5,1,0.001,0.1,0.5,0.01,0,0.66989305,16.85,0.2,1,79.5,0.95,304.5263157894737,0.05,69,0,-1,0,-1,1,0.00553285,45.957876274499995,0.6861894039099998,0.9762509391472077
1,0.15,0.5,0,0.5,0,0.5,1,0.001,0.1,0.5,0.01,0,0.226462,15.25,0.2,1,28.9,0.8,292.3125,0.2,22,0.05,327,0,-1,0.95,0.02002244999999999,24.28924061250002,0.235,0.963668085106383
2,0.15,0.5,0,0.5,0,0.5,1,0.001,0.1,0.5,0.01,0,0.33476815000000004,15.4,0.2,1,40,0.9,293.5,0.1,32,0,-1,0,-1,1,0.0100814,24.26837464400004,0.34975,0.9571641172265906
3,0.15,0.5,0,0.5,0,0.5,1,0.001,0.1,0.5,0.01,0,0.42831475,15.6,0.2,1,45.4,0.85,296.7647058823529,0.15,33.333333333333336,0,-1,0,-1,1,0.0151237,29.888569133000033,0.44728750000000006,0.9575826509795153
4,0.15,0.5,0,0.5,0,0.5,1,0.001,0.1,0.5,0.01,0,0.50887085,16,0.2,1,49.1,0.95,301.7368421052632,0.05,37,0,-1,0,-1,1,0.00511205,29.075719226000025,0.5301943750000001,0.9597816838400066
5,0.15,0.5,0,0.5,0,0.5,1,0.001,0.1,0.5,0.01,0,0.5780715500000002,15.95,0.2,1,52.3,0.95,286.63157894736844,0.05,40,0,-1,0,-1,1,0.0051575,30.849055764500022,0.6006652187500001,0.962385588436404
6,0.15,0.5,0,0.5,0,0.5,1,0.001,0.1,0.5,0.01,0,0.6378271000000002,16.05,0.2,1,55.2,1,297.9,0,-1,0,-1,0,-1,1,2.28e-4,32.688419844000045,0.6605654359375001,0.9655774663637544
7,0.15,0.5,0,0.5,0,0.5,1,0.001,0.1,0.5,0.01,0,0.68827985,16.1,0.2,1,56.85,0.9,298.44444444444446,0.1,27.5,0,-1,0,-1,1,0.01022563749999999,37.66269751200007,0.7114806205468751,0.9673908608655539
