num_targets,target_fitness_cost,recomb_rate,shared_cas9,baseline_cleavage_rate,saturation_factor,target_cut_rate,drive_cut_rate,drive_r1_rate,drive_fitness_cost,drive_dominance,target_r1_rate,target_dominance,avg_max_load,avg_time_to_maximum_genetic_load,recovery_marker,avg_rate_genetic_load_fell_below_marker,avg_time_to_genetic_load_below_marker,drive_loss_rate,avg_time_to_drive_loss,drive_fixed_rate,avg_time_to_drive_fixation,disrupted_lost_rate,avg_time_to_disrupted_lost,disrupted_fixed_rate,avg_time_to_disrupted_fixation,simulation_timed_out_rate,avg_ending_genetic_load,avg_total_load,theoretical_potential_load,fraction_of_max_load_attained
1,0.05,0.5,0,0.5,0,0.5,1,0.001,0.1,0.5,0.3333333333,0,0.11770225,13,0.2,0,-1,0.95,287.3157894736842,0.05,70,0,-1,0,-1,1,0.00510075,16.361646827500007,0.14500000000000002,0.8117396551724136
2,0.05,0.5,0,0.5,0,0.5,1,0.001,0.1,0.5,0.3333333333,0,0.13505585,13,0.2,0,-1,0.9,309.1111111111111,0.1,27.5,0,-1,0,-1,1,0.0102236,19.4309299145,0.18774999999999997,0.7193387483355528
3,0.05,0.5,0,0.5,0,0.5,1,0.001,0.1,0.5,0.3333333333,0,0.1522662,13,0.2,0,-1,0.9,296.3888888888889,0.1,56.5,0,-1,0,-1,1,0.01029154999999999,19.823608053950004,0.22836250000000013,0.6667740981991347
4,0.05,0.5,0,0.5,0,0.5,1,0.001,0.1,0.5,0.3333333333,0,0.16905240000000002,13.05,0.2,0,-1,0.8,307.75,0.2,38.5,0,-1,0,-1,1,0.02037325,24.810337601899995,0.2669443750000001,0.6332869909695604
5,0.05,0.5,0,0.5,0,0.5,1,0.001,0.1,0.5,0.3333333333,0,0.18530935,12.9,0.2,0,-1,0.8,302.9375,0.2,29,0,-1,0,-1,1,0.0205211125,25.152584366799992,0.30359715625000017,0.6103790703737855
6,0.05,0.5,0,0.5,0,0.5,1,0.001,0.1,0.5,0.3333333333,0,0.20160625,13.3,0.2,0.95,16.210526315789473,0.85,304.3529411764706,0.15,28.333333333333332,0,-1,0,-1,1,0.015574925,24.580006562949997,0.3384172984375001,0.5957326972670495
7,0.05,0.5,0,0.5,0,0.5,1,0.001,0.1,0.5,0.3333333333,0,0.21728545,12.95,0.2,1,22.75,0.95,306.89473684210526,0.05,20,0,-1,0,-1,1,0.00576981249999999,21.8947294157,0.3714964335156252,0.5848924253289256
8,0.05,0.5,0,0.5,0,0.5,1,0.001,0.1,0.5,0.3333333333,0,0.23245695,12.95,0.2,1,27.95,0.85,305.88235294117646,0.15,26.333333333333332,0,-1,0,-1,1,0.015781675,26.0969771198,0.402921611839844,0.5769284723610174
9,0.05,0.5,0,0.5,0,0.5,1,0.001,0.1,0.5,0.3333333333,0,0.24779959999999995,13.05,0.2,1,32.65,0.8,291.125,0.2,46,0,-1,0,-1,1,0.0208745625,28.978890971250006,0.43277553124785184,0.572582279052381
10,0.05,0.5,0,0.5,0,0.5,1,0.001,0.1,0.5,0.3333333333,0,0.26281725,13,0.2,1,36.6,0.9,295.05555555555554,0.1,57.5,0,-1,0,-1,1,0.011086325,25.585807666750004,0.4611367546854592,0.5699334250189346
1,0.1,0.5,0,0.5,0,0.5,1,0.001,0.1,0.5,0.3333333333,0,0.13254815000000003,12.15,0.2,0,-1,0.85,295.94117647058823,0.15,35.666666666666664,0,-1,0,-1,1,0.01504095,19.60440632499998,0.18999999999999995,0.6976218421052636
2,0.1,0.5,0,0.5,0,0.5,1,0.001,0.1,0.5,0.3333333333,0,0.1639407,12.1,0.2,0,-1,0.85,301.1764705882353,0.15,42,0,-1,0,-1,1,0.01510165,20.78737987000001,0.2709999999999999,0.604947232472325
3,0.1,0.5,0,0.5,0,0.5,1,0.001,0.1,0.5,0.3333333333,0,0.19413990000000003,11.85,0.2,0,-1,1,292.7,0,-1,0,-1,0,-1,1,1.36e-4,16.211740135499998,0.3438999999999999,0.5645242803140451
